% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
33311	1	1	1	2	1	28	6594	0	1	1	0
33312	1	1	1	2	0	28	6594	0	1	1	0
33312	1	1	1	2	1	28	6594	0	1	1	0
33313	1	1	1	2	0	28	6594	0	1	1	0
33313	1	1	1	2	1	28	6594	0	1	1	0
33314	1	1	1	2	0	28	6594	0	1	1	0
33314	1	1	1	2	1	28	6594	0	1	1	0
33315	1	1	1	2	0	28	6594	0	1	1	0
33315	1	1	1	2	1	28	6594	0	1	1	0
33316	1	1	1	2	0	28	6594	0	1	1	0
33316	1	1	1	2	1	28	6594	0	1	1	0
33317	1	1	1	2	0	28	6594	0	1	1	0
33317	1	1	1	2	1	28	6594	0	1	1	0
33318	1	1	1	2	0	28	6594	0	1	1	0
33318	1	1	1	2	1	28	6594	0	1	1	0
33319	1	1	1	2	0	28	6594	0	1	1	0
33319	1	1	1	2	1	28	6594	0	1	1	0
33320	1	1	1	2	0	28	6594	0	1	1	0
33320	1	1	1	2	1	28	6594	0	1	1	0
33321	1	1	1	2	0	28	6594	0	1	1	0
33321	1	1	1	2	1	28	6594	0	1	1	0
33322	1	1	1	2	0	28	6594	0	1	1	0
33322	1	1	1	2	1	28	6594	0	1	1	0
33323	1	1	1	2	0	28	6594	0	1	1	0
33323	1	1	1	2	1	28	6594	0	1	1	0
33324	1	1	1	2	0	28	6594	0	1	1	0
33324	1	1	1	2	1	28	6594	0	1	1	0
33325	1	1	1	2	0	28	6594	0	1	1	0
33325	1	1	1	2	1	28	6594	0	1	1	0
33326	1	1	1	2	0	28	6594	0	1	1	0
33326	1	1	1	2	1	28	6594	0	1	1	0
33327	1	1	1	2	0	28	6594	0	1	1	0
33327	1	1	1	2	1	28	6594	0	1	1	0
33328	1	1	1	2	0	28	6594	0	1	1	0
33328	1	1	1	2	1	28	6594	0	1	1	0
33329	1	1	1	2	0	28	6594	0	1	1	0
33329	1	1	1	2	1	28	6594	0	1	1	0
33330	1	1	1	2	0	28	6594	0	1	1	0
33330	1	1	1	2	1	28	6594	0	1	1	0
33331	1	1	1	2	0	28	6594	0	1	1	0
33331	1	1	1	2	1	28	6594	0	1	1	0
33332	1	1	1	2	0	28	6594	0	1	1	0
33332	1	1	1	2	1	28	6594	0	1	1	0
33333	1	1	1	2	0	28	6594	0	1	1	0
33333	1	1	1	2	1	28	6594	0	1	1	0
33334	1	1	1	2	0	28	6594	0	1	1	0
33334	1	1	1	2	1	28	6594	0	1	1	0
33335	1	1	1	2	0	28	6594	0	1	1	0
33335	1	1	1	2	1	28	6594	0	1	1	0
33336	1	1	1	2	0	28	6594	0	1	1	0
33336	1	1	1	2	1	28	6594	0	1	1	0
33337	1	1	1	2	0	28	6594	0	1	1	0
33337	1	1	1	2	1	28	6594	0	1	1	0
33338	1	1	1	2	0	28	6594	0	1	1	0
33338	1	1	1	2	1	28	6594	0	1	1	0
33339	1	1	1	2	0	28	6594	0	1	1	0
33339	1	1	1	2	1	28	6594	0	1	1	0
33340	1	1	1	2	0	28	6594	0	1	1	0
33340	1	1	1	2	1	28	6594	0	1	1	0
33341	1	1	1	2	0	28	6594	0	1	1	0
33341	1	1	1	2	1	28	6594	0	1	1	0
33342	1	1	1	2	0	28	6594	0	1	1	0
33342	1	1	1	2	1	28	6594	0	1	1	0
33343	1	1	1	2	0	28	6594	0	1	1	0
33343	1	1	1	2	1	28	6594	0	1	1	0
33344	1	1	1	2	0	28	6594	0	1	1	0
33344	1	1	1	2	1	28	6594	0	1	1	0
33345	1	1	1	2	0	28	6594	0	1	1	0
33345	1	1	1	2	1	28	6594	0	1	1	0
33346	1	1	1	2	0	28	6594	0	1	1	0
33346	1	1	1	2	1	28	6594	0	1	1	0
33347	1	1	1	2	0	28	6594	0	1	1	0
33347	1	1	1	2	1	28	6594	0	1	1	0
33348	1	1	1	2	0	24	4904	0	1	1	0
33348	1	1	1	2	1	24	4904	0	1	1	0
33349	1	1	1	2	0	24	4904	0	1	1	0
33349	1	1	1	2	1	24	4904	0	1	1	0
33350	1	1	1	2	0	28	6594	0	1	1	0
33350	1	1	1	2	1	28	6594	0	1	1	0
33351	1	1	1	2	0	28	6594	0	1	1	0
33351	1	1	1	2	1	28	6594	0	1	1	0
33352	1	1	1	2	0	28	6594	0	1	1	0
33352	1	1	1	2	1	28	6594	0	1	1	0
33353	1	1	1	2	0	28	6594	0	1	1	0
33353	1	1	1	2	1	28	6594	0	1	1	0
33354	1	1	1	2	0	28	6594	0	1	1	0
33354	1	1	1	2	1	28	6594	0	1	1	0
33355	1	1	1	2	0	28	6594	0	1	1	0
33355	1	1	1	2	1	28	6594	0	1	1	0
33356	1	1	1	2	0	28	6594	0	1	1	0
33356	1	1	1	2	1	28	6594	0	1	1	0
33357	1	1	1	2	0	28	6594	0	1	1	0
33357	1	1	1	2	1	28	6594	0	1	1	0
33358	1	1	1	2	0	28	6594	0	1	1	0
33358	1	1	1	2	1	28	6594	0	1	1	0
33359	1	1	1	2	0	28	6594	0	1	1	0
33359	1	1	1	2	1	28	6594	0	1	1	0
33360	1	1	1	2	0	28	6594	0	1	1	0
33360	1	1	1	2	1	28	6594	0	1	1	0
33361	1	1	1	2	0	28	6594	0	1	1	0
33361	1	1	1	2	1	28	6594	0	1	1	0
33362	1	1	1	2	0	28	6594	0	1	1	0
33362	1	1	1	2	1	28	6594	0	1	1	0
33363	1	1	1	2	0	28	6594	0	1	1	0
33363	1	1	1	2	1	28	6594	0	1	1	0
33364	1	1	1	2	0	28	6594	0	1	1	0
33364	1	1	1	2	1	28	6594	0	1	1	0
33370	1	1	1	2	0	28	6594	0	1	1	0
33370	1	1	1	2	1	28	6594	0	1	1	0
33372	1	1	1	2	0	28	6594	0	1	1	0
33372	1	1	1	2	1	28	6594	0	1	1	0
33377	1	1	1	2	0	28	6594	0	1	1	0
33377	1	1	1	2	1	28	6594	0	1	1	0
33378	1	1	1	2	0	28	6594	0	1	1	0
33378	1	1	1	2	1	28	6594	0	1	1	0
33379	1	1	1	2	0	28	6594	0	1	1	0
33379	1	1	1	2	1	28	6594	0	1	1	0
33380	1	1	1	2	0	28	6594	0	1	1	0
33380	1	1	1	2	1	28	6594	0	1	1	0
33381	1	1	1	2	0	28	6594	0	1	1	0
33381	1	1	1	2	1	28	6594	0	1	1	0
33382	1	1	1	2	0	28	6594	0	1	1	0
33382	1	1	1	2	1	28	6594	0	1	1	0
33383	1	1	1	2	0	28	6594	0	1	1	0
33383	1	1	1	2	1	28	6594	0	1	1	0
33384	1	1	1	2	0	28	6594	0	1	1	0
33384	1	1	1	2	1	28	6594	0	1	1	0
33385	1	1	1	2	0	28	6594	0	1	1	0
33385	1	1	1	2	1	28	6594	0	1	1	0
33386	1	1	1	2	0	28	6594	0	1	1	0
33386	1	1	1	2	1	28	6594	0	1	1	0
33387	1	1	1	2	0	28	6594	0	1	1	0
33387	1	1	1	2	1	28	6594	0	1	1	0
33388	1	1	1	2	0	28	6594	0	1	1	0
33388	1	1	1	2	1	28	6594	0	1	1	0
33389	1	1	1	2	0	28	6594	0	1	1	0
33389	1	1	1	2	1	28	6594	0	1	1	0
33390	1	1	1	2	0	28	6594	0	1	1	0
33390	1	1	1	2	1	28	6594	0	1	1	0
33391	1	1	1	2	0	28	6594	0	1	1	0
33391	1	1	1	2	1	28	6594	0	1	1	0
33392	1	1	1	2	0	28	6594	0	1	1	0
33392	1	1	1	2	1	28	6594	0	1	1	0
33393	1	1	1	2	0	28	6594	0	1	1	0
33393	1	1	1	2	1	28	6594	0	1	1	0
33394	1	1	1	2	0	28	6594	0	1	1	0
33394	1	1	1	2	1	28	6594	0	1	1	0
33395	1	1	1	2	0	28	6594	0	1	1	0
33395	1	1	1	2	1	28	6594	0	1	1	0
33396	1	1	1	2	0	28	6594	0	1	1	0
33396	1	1	1	2	1	28	6594	0	1	1	0
33397	1	1	1	2	0	28	6594	0	1	1	0
33397	1	1	1	2	1	28	6594	0	1	1	0
33398	1	1	1	2	0	28	6594	0	1	1	0
33398	1	1	1	2	1	28	6594	0	1	1	0
33399	1	1	1	2	0	28	6594	0	1	1	0
33399	1	1	1	2	1	28	6594	0	1	1	0
33400	1	1	1	2	0	28	6594	0	1	1	0
33400	1	1	1	2	1	28	6594	0	1	1	0
33401	1	1	1	2	0	28	6594	0	1	1	0
33401	1	1	1	2	1	28	6594	0	1	1	0
33402	1	1	1	2	0	28	6594	0	1	1	0
33402	1	1	1	2	1	28	6594	0	1	1	0
33403	1	1	1	2	0	28	6594	0	1	1	0
33403	1	1	1	2	1	28	6594	0	1	1	0
33404	1	1	1	2	0	28	6594	0	1	1	0
33404	1	1	1	2	1	28	6594	0	1	1	0
33405	1	1	1	2	0	28	6594	0	1	1	0
33405	1	1	1	2	1	28	6594	0	1	1	0
33406	1	1	1	2	0	28	6594	0	1	1	0
33406	1	1	1	2	1	28	6594	0	1	1	0
33407	1	1	1	2	0	28	6594	0	1	1	0
